stat,Dis,crop,year,sea,prod,met,Unnamed: 7,Unnamed: 8,Unnamed: 9
Tamil Nadu,The Nilgiris,Banana,2002,whole_year,519,Hectare,7447.0,Tonnes,14.34874759
Tamil Nadu,Theni,Banana,2002,whole_year,3702,Hectare,136800.0,Tonnes,36.95299838
Tamil Nadu,Thiruvallur,Banana,2002,whole_year,917,Hectare,33886.0,Tonnes,36.95310796
Tamil Nadu,Thiruvarur,Banana,2002,whole_year,300,Hectare,11086.0,Tonnes,36.95333333
Tamil Nadu,Thoothukudi,Banana,2002,whole_year,8037,Hectare,477145.0,Tonnes,59.36854548
Tamil Nadu,Tiruchirappalli,Banana,2002,whole_year,9020,Hectare,384166.0,Tonnes,42.59046563
Tamil Nadu,Tirunelveli,Banana,2002,whole_year,6817,Hectare,316393.0,Tonnes,46.41235147
Tamil Nadu,Tiruvannamalai,Banana,2002,whole_year,1032,Hectare,38134.0,Tonnes,36.95155039
Tamil Nadu,Vellore,Banana,2002,whole_year,2051,Hectare,75791.0,Tonnes,36.95319356
Tamil Nadu,Villupuram,Banana,2002,whole_year,1215,Hectare,22654.0,Tonnes,18.64526749
Tamil Nadu,Virudhunagar,Banana,2002,whole_year,934,Hectare,34514.0,Tonnes,36.95289079
Tamil Nadu,Coimbatore,Cashewnut,2002,whole_year,243,Hectare,73.0,Tonnes,0.300411523
Tamil Nadu,Cuddalore,Cashewnut,2002,whole_year,28083,Hectare,19178.0,Tonnes,0.682904248
Tamil Nadu,Dharmapuri,Cashewnut,2002,whole_year,16,Hectare,5.0,Tonnes,0.3125
Tamil Nadu,Dindigul,Cashewnut,2002,whole_year,601,Hectare,182.0,Tonnes,0.302828619
Tamil Nadu,Erode,Cashewnut,2002,whole_year,34,Hectare,10.0,Tonnes,0.294117647
Tamil Nadu,Kanchipuram,Cashewnut,2002,whole_year,401,Hectare,121.0,Tonnes,0.301745636
Tamil Nadu,Kanniyakumari,Cashewnut,2002,whole_year,1938,Hectare,568.0,Tonnes,0.293085655
Tamil Nadu,Karur,Cashewnut,2002,whole_year,39,Hectare,12.0,Tonnes,0.307692308
Tamil Nadu,Madurai,Cashewnut,2002,whole_year,251,Hectare,76.0,Tonnes,0.302788845
Tamil Nadu,Nagapattinam,Cashewnut,2002,whole_year,503,Hectare,152.0,Tonnes,0.302186879
Tamil Nadu,Namakkal,Cashewnut,2002,whole_year,2,Hectare,1.0,Tonnes,0.5
Tamil Nadu,Perambalur,Cashewnut,2002,whole_year,29298,Hectare,7543.0,Tonnes,0.257457847
Tamil Nadu,Pudukkottai,Cashewnut,2002,whole_year,10865,Hectare,1132.0,Tonnes,0.104187759
Tamil Nadu,Ramanathapuram,Cashewnut,2002,whole_year,124,Hectare,37.0,Tonnes,0.298387097
Tamil Nadu,Sivaganga,Cashewnut,2002,whole_year,4973,Hectare,939.0,Tonnes,0.188819626
Tamil Nadu,Thanjavur,Cashewnut,2002,whole_year,2854,Hectare,417.0,Tonnes,0.146110722
Tamil Nadu,Theni,Cashewnut,2002,whole_year,4045,Hectare,1223.0,Tonnes,0.302348578
Tamil Nadu,Thiruvallur,Cashewnut,2002,whole_year,222,Hectare,67.0,Tonnes,0.301801802
Tamil Nadu,Thiruvarur,Cashewnut,2002,whole_year,21,Hectare,6.0,Tonnes,0.285714286
Tamil Nadu,Thoothukudi,Cashewnut,2002,whole_year,911,Hectare,275.0,Tonnes,0.301866081
Tamil Nadu,Tiruchirappalli,Cashewnut,2002,whole_year,770,Hectare,233.0,Tonnes,0.302597403
Tamil Nadu,Tirunelveli,Cashewnut,2002,whole_year,4354,Hectare,1317.0,Tonnes,0.302480478
Tamil Nadu,Vellore,Cashewnut,2002,whole_year,29,Hectare,9.0,Tonnes,0.310344828
Tamil Nadu,Villupuram,Cashewnut,2002,whole_year,4606,Hectare,2299.0,Tonnes,0.499131568
Tamil Nadu,Virudhunagar,Cashewnut,2002,whole_year,34,Hectare,10.0,Tonnes,0.294117647
